	BH90_04.00_170222	BP06_16.00_11_03_22	BP07_8.00_16_2_22	BP34_06.00_170222	BP34_08.00_170222	BP46_08.00_10_03_22	BP46_16.00_10_03_22	BP47_14.00_10_03_22	BP48_12.00_10_03_22	BP48_14.00_10_03_22	BP59_08.00_11_03_22	BP59_14.00_11_03_22	BP59_16.00	BP59_18.00_11_03_22	BP59_20.00_11_03_22	BP59_22.00_11_03_22	BP60_22.00_10_03_22	BP60_26.00_10_03_22	BP76_18.00_10_03_22	BP76_22.00_10_03_22	BP76_26.00_10_03_22	BP77_16.00_10_03_22	BP77_22.00_10_03_22	BP91_10.00_16_2_22	BP91_20.00_16_2_22	BP91_28.00_16_2_22	MWB05I_18_03_22	MWBO7I_18_03_22	MWD04D_16_2_22	MWD04I_16_2_22	MWD04S_16_2_22	MWD16_D_170222	MWD16_I_170222	MWD16_S_170222	MWF13D_11_03_22	MWF13I_11_03_22	MWF13S_11_03_22	MWF14D_18_03_22	MWF14I_18_03_22	MWF14S_18_03_22	QW016_D_170222	QW016_I_170222	WG269_D_170222	WG269_I_170222	BP49-06.00-10/03/22	QW016D-17/2/22	MWD16D-17/2/22	BP90-4.00-17/2/22	QW016I-17/2/22	WG269D-17/2/22	MWB07I-18/03/22	MWF13S-11/03/22	MWD16S-17/2/22	WG269I-17/2/22	MWD16I-17/2/22
Depth	4	16	8	6	8	8	16	14	12	14	8	14	16	18	20	22	22	26	18	22	26	16	22	10	20	28	18	18	16	16	16	24	16	8	24	16	8	24	16	8	24	16	24	16	6	24	24	4	16	24	16	8	8	16	16
Iron	2.69	2.62	2.51	1.2	2.7	0.47	2.5	4.66	10.1	14.1	33.8	0.97	15.9	9.99	21.8	15.4	16.1	39.4	4.44	3.9	30.6	1.64	0.52	3.84	3.68	44.3	6.09	0.7	12.8	2.15	16.1	4.13	1.07	0.22	8.42	8.35	0.12	6.82	4.28	0.41	1.18	0.74	37.2	9.44	0	0	0	0	0	0	0	0	0	0	0
Manganese	0.074	0.016	0.018	0.046	0.014	0.015	0.081	0.051	0.102	0.124	0.347	0.136	0.273	0.122	0.174	0.301	0.176	0.521	0.122	0.084	0.33	0.133	0.035	0.034	0.038	0.352	0.218	0.013	0.119	0.004	0.019	0.045	0.01	0.054	0.335	0.343	0.138	0.122	0.34	0.025	0.026	0.051	0.737	0.287	0	0	0	0	0	0	0	0	0	0	0
Chloride	149	130	115	677	304	179	353	381	655	799	1390	301	649	642	866	3240	872	1780	370	358	1200	492	506	52	110	983	418	80	555	34	97	79	77	107	705	706	3930	1130	588	13	153	241	1320	708	0	0	0	0	0	0	0	0	0	0	0
Nitrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicarbonate alkalinity	351	29	44	50	1	54	65	1	1	1	33	110	39	41	1	16	1	111	39	34	50	82	96	33	4	1	122	43	4	82	104	6	40	328	54	54	617	35	96	103	26	96	24	29	0	0	0	0	0	0	0	0	0	0	0
Carbonate alkalinity	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Hydroxide alkalinity	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Total alkalinity	351	29	44	50	1	54	65	1	1	1	33	110	39	41	1	16	1	111	39	34	50	82	96	33	4	1	122	43	4	82	104	6	40	328	54	54	617	35	96	103	26	96	24	29	0	0	0	0	0	0	0	0	0	0	0
